Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Marker,Min across,log H/L Con01_04K,log H/L Con01_10K,log H/L Con01_20K,log H/L Con01_40K,log H/L Con01_80K,log H/L Con02_04K,log H/L Con02_10K,log H/L Con02_20K,log H/L Con02_40K,log H/L Con02_80K,log H/L Pra01_04K,log H/L Pra01_10K,log H/L Pra01_20K,log H/L Pra01_40K,log H/L Pra01_80K,log H/L Pra02_04K,log H/L Pra02_10K,log H/L Pra02_20K,log H/L Pra02_40K,log H/L Pra02_80K,log H/L Tam01_04K,log H/L Tam01_10K,log H/L Tam01_20K,log H/L Tam01_40K,log H/L Tam01_80K,log H/L Tam02_04K,log H/L Tam02_10K,log H/L Tam02_20K,log H/L Tam02_40K,log H/L Tam02_80K
P70452,P70452,Syntaxin-4,Stx4,sp|P70452|STX4_MOUSE Syntaxin-4 OS=Mus musculus OX=10090 GN=Stx4 PE=1 SV=1,Plasma membrane,5,0.147771307,-0.39331352,-0.145508043,0.459543783,1.288469954,0.460032463,-0.1926792,-0.05309735,0.438265598,1.939846609,0.59398953,-0.312077042,-0.193434104,0.483778393,1.433571788,-0.196030757,-0.934183227,-0.61468904,0.111055047,2.424590151,0.409741433,-0.237155816,-0.369171248,0.294371339,1.053618353,0.133878535,-0.585024387,-0.525009688,-0.169729706,1.597190796
P84091,P84091,AP-2 complex subunit mu,Ap2m1,sp|P84091|AP2M1_MOUSE AP-2 complex subunit mu OS=Mus musculus OX=10090 GN=Ap2m1 PE=1 SV=1,Plasma membrane,10,-0.107383081,-0.561611229,-0.107386131,0.431328958,0.414985918,-0.068896773,-0.662440489,-0.03549295,0.500870449,0.293133098,0.099704696,-0.660807091,-0.145321937,0.558830662,0.425546858,-0.377067393,-0.456775576,0.221834882,0.220128117,0.36848729,0.215412085,-0.030599367,-0.016718825,0.237997923,-0.059949519,-0.113984769,-0.390199416,0.030073262,0.062767826,-0.011142388
P97300-1;P97300;P97300-3;P97300-4,P97300-1;P97300;P97300-3,Neuroplastin,Nptn,sp|P97300-1|NPTN_MOUSE Isoform 1 of Neuroplastin OS=Mus musculus OX=10090 GN=Nptn;sp|P97300|NPTN_MOUSE Neuroplastin OS=Mus musculus OX=10090 GN=Nptn PE=1 SV=3;sp|P97300-3|NPTN_MOUSE Isoform 3 of Neuroplastin OS=Mus musculus OX=10090 GN=Nptn,Plasma membrane,5,0.134177364,-0.497665003,-0.164803481,0.629998728,1.729560353,0.350603614,-0.360585081,-0.207110912,0.642705349,2.302542193,0.443904914,-0.353466951,-0.128762317,0.388261169,1.70696593,-0.244634728,-0.766258297,-0.402583967,0.387051844,2.548046051,0.263217472,-0.099028019,-0.169166517,0.81025297,1.923856642,0.050505972,-0.624788717,-0.303146166,0.313743301,2.299868363
P97370,P97370,Sodium/potassium-transporting ATPase subunit beta-3,Atp1b3,sp|P97370|AT1B3_MOUSE Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus OX=10090 GN=Atp1b3 PE=1 SV=1,Plasma membrane,12,0.238898157,-0.253058292,0.317441871,1.034476447,2.073529836,0.244376763,-0.388162709,0.082626977,0.845406688,2.216271944,0.510171612,-0.21333782,0.223505887,0.979334749,2.020557637,-0.311907522,-0.950385973,-0.357130195,0.405139393,2.597810205,0.527014401,0.014069876,0.009128143,0.876139845,1.819022578,-0.053368151,-0.669144816,-0.20673903,0.317214604,2.256886111
Q03145;Q62413;P29319;P54761;P54754,Q03145,Ephrin type-A receptor 2,Epha2,sp|Q03145|EPHA2_MOUSE Ephrin type-A receptor 2 OS=Mus musculus OX=10090 GN=Epha2 PE=1 SV=3,Plasma membrane,12,0.506542234,-0.265801136,-0.192841393,0.336921749,1.275062463,0.562144705,-0.129559748,-0.086513755,0.360796179,1.699529418,0.828262795,-0.187619316,-0.083080405,0.38438816,1.294239995,-0.140073565,-0.978617007,-0.695489782,-0.071582225,2.199600371,0.602115166,0.034577559,-0.212763517,0.617709801,1.478988442,0.248287878,-0.522018557,-0.415706681,-0.128073183,2.198658272
Q60770;Q60770-2,Q60770;Q60770-2,Syntaxin-binding protein 3,Stxbp3,sp|Q60770|STXB3_MOUSE Syntaxin-binding protein 3 OS=Mus musculus OX=10090 GN=Stxbp3 PE=1 SV=1;sp|Q60770-2|STXB3_MOUSE Isoform 2 of Syntaxin-binding protein 3 OS=Mus musculus OX=10090 GN=Stxbp3,Plasma membrane,9,0.188427609,-0.430238672,-0.084309842,0.445161231,1.37989965,0.393549249,-0.363150263,-0.072915071,0.40099811,1.649854833,0.517190805,-0.367363741,-0.121426657,0.525918518,1.490107107,-0.267909679,-0.944872162,-0.638788769,0.054569842,1.95080573,0.414179069,-0.050168061,-0.232653884,0.477404583,1.109293701,0.16797385,-0.523196494,-0.480471357,-0.079327648,1.614338689
Q60902;Q60902-2;Q60902-3,Q60902;Q60902-2;Q60902-3,Epidermal growth factor receptor substrate 15-like 1,Eps15l1,sp|Q60902|EP15R_MOUSE Epidermal growth factor receptor substrate 15-like 1 OS=Mus musculus OX=10090 GN=Eps15l1 PE=1 SV=3;sp|Q60902-2|EP15R_MOUSE Isoform 2 of Epidermal growth factor receptor substrate 15-like 1 OS=Mus musculus OX=10090 GN=Eps15l1;sp|Q60902,Plasma membrane,10,0.042896564,-0.680908675,-0.237208741,0.482641819,1.193018985,0.0015999,-0.661630623,-0.15529017,0.570670561,0.818970873,0.074815331,-0.769433687,-0.350264686,0.414254219,1.076089082,-0.311868316,-0.264935765,0.030738455,0.236538837,0.030826515,0.118947987,-0.270914195,-0.338550647,-0.097477579,0.356287727,-0.117375487,-0.483654909,-0.270181455,0.043098998,0.512233303
Q61072,Q61072,Disintegrin and metalloproteinase domain-containing protein 9,Adam9,sp|Q61072|ADAM9_MOUSE Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus OX=10090 GN=Adam9 PE=1 SV=2,Plasma membrane,6,0.273914135,-0.38886373,-0.438455613,-0.111296226,0.691804017,0.586730189,-0.115093401,-0.422897054,-0.049367871,0.899853446,0.513643193,-0.388111649,-0.500287793,-0.02204602,0.708958878,0.184914035,-0.588287184,-0.500746113,-0.193879316,1.331684292,0.357220418,-0.238242661,-0.78187066,-0.409363898,0.064425108,0.509786936,-0.424755163,-0.775835813,-0.608414543,0.839879106
Q61735-2,Q61735-2,Leukocyte surface antigen CD47,Cd47,sp|Q61735-2|CD47_MOUSE Isoform 2 of Leukocyte surface antigen CD47 OS=Mus musculus OX=10090 GN=Cd47,Plasma membrane,3,0.316722385,-0.364135423,-0.19688582,0.477490931,1.504931657,0.451169609,-0.272613357,-0.009781367,0.435556079,1.857265919,0.600374559,-0.309936485,-0.156803956,0.582793594,1.399276623,-0.22981787,-0.91671508,-0.551962924,0.101842856,1.771417901,0.517261902,-0.11328777,-0.150408476,0.545410199,1.436986026,0.202993121,-0.429081338,-0.22004567,0.082241559,1.963225833
Q61739-2;Q61739,Q61739-2;Q61739,Integrin alpha-6;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain,Itga6,sp|Q61739-2|ITA6_MOUSE Isoform Alpha-6X1A of Integrin alpha-6 OS=Mus musculus OX=10090 GN=Itga6;sp|Q61739|ITA6_MOUSE Integrin alpha-6 OS=Mus musculus OX=10090 GN=Itga6 PE=1 SV=3,Plasma membrane,5,0.33856286,-0.463186503,-0.006940777,0.471420677,1.580968116,0.720388536,-0.123450965,-0.004074597,0.559401209,2.017116231,0.693951752,-0.351430273,-0.179060435,0.626793976,1.571487219,0.059658443,-0.909076073,-0.668050295,-0.029861464,2.343735953,0.613108898,0.057532607,-0.311975364,0.434220594,1.217449423,0.333006787,-0.396682079,-0.369250889,-0.071213078,1.801133922
Q64455,Q64455,Receptor-type tyrosine-protein phosphatase eta,Ptprj,sp|Q64455|PTPRJ_MOUSE Receptor-type tyrosine-protein phosphatase eta OS=Mus musculus OX=10090 GN=Ptprj PE=1 SV=2,Plasma membrane,3,0.247100793,-0.438188292,-0.368315052,0.232581998,1.288216538,0.562345469,-0.188531983,-0.1482274,0.182252217,1.775258178,0.670779056,-0.327477313,-0.188105813,0.278553976,1.280797149,-0.157017812,-0.899482842,-0.71709365,-0.128738604,2.288787728,0.260354412,0.040908851,-0.343908852,0.654334181,1.677975953,0.237624895,-0.398761067,-0.507744287,-0.185572233,2.040718242
Q6P9J9;Q6P9J9-2,Q6P9J9,Anoctamin-6,Ano6,sp|Q6P9J9|ANO6_MOUSE Anoctamin-6 OS=Mus musculus OX=10090 GN=Ano6 PE=1 SV=1,Plasma membrane,4,0.233079853,-0.373443832,-0.076724141,0.515681659,1.525108529,0.660696227,-0.36154923,-0.11591949,0.50733599,2.211323074,0.589824055,-0.343849225,-0.114291104,0.485474285,1.627096408,-0.278712145,-1.002167402,-0.643287642,0.162947163,2.773068651,0.538404158,-0.17401618,-0.278679626,0.571458977,1.593635789,0.030762325,-0.580760443,-0.537346775,0.046271207,1.926546209
Q8BG67;Q8BG67-2,Q8BG67;Q8BG67-2,Protein EFR3 homolog A,Efr3a,sp|Q8BG67|EFR3A_MOUSE Protein EFR3 homolog A OS=Mus musculus OX=10090 GN=Efr3a PE=1 SV=1;sp|Q8BG67-2|EFR3A_MOUSE Isoform 2 of Protein EFR3 homolog A OS=Mus musculus OX=10090 GN=Efr3a,Plasma membrane,5,0.262891642,-0.31204093,0.01121688,0.439989658,1.255103701,0.375610416,-0.27626583,-0.013678328,0.443791995,1.677947449,0.602125499,-0.336225602,-0.062682957,0.587012311,1.539546615,-0.234269262,-0.887466796,-0.586507494,0.110489838,2.63553111,0.396346032,-0.096988047,-0.243979567,0.765576443,1.505635042,0.022205507,-0.563555178,-0.30150779,0.019300128,1.80877118
Q8BTY2,Q8BTY2,Sodium bicarbonate cotransporter 3,Slc4a7,sp|Q8BTY2|S4A7_MOUSE Sodium bicarbonate cotransporter 3 OS=Mus musculus OX=10090 GN=Slc4a7 PE=1 SV=2,Plasma membrane,2,0.168496732,-0.590244004,0.164595185,1.439298712,2.693160496,0.035401923,-0.485628159,0.17515791,1.55043576,2.865984207,0.322966066,-0.611651315,0.167561949,1.179572476,2.478471281,-0.436179005,-0.926094716,-0.311021564,0.940838637,2.451174572,0.167558313,-0.35525483,-0.061169774,1.084164965,2.148487065,-0.189200065,-0.598431022,0.039593304,0.052718838,2.446752295
Q8R5M8-4;Q8R5M8-3;Q8R5M8-2;Q8R5M8;Q8R5M8-5;Q8R5M8-7;Q8R5M8-6,Q8R5M8-4;Q8R5M8-3;Q8R5M8-2;Q8R5M8;Q8R5M8-5;Q8R5M8-7;Q8R5M8-6,Cell adhesion molecule 1,Cadm1,sp|Q8R5M8-4|CADM1_MOUSE Isoform 4 of Cell adhesion molecule 1 OS=Mus musculus OX=10090 GN=Cadm1;sp|Q8R5M8-3|CADM1_MOUSE Isoform 3 of Cell adhesion molecule 1 OS=Mus musculus OX=10090 GN=Cadm1;sp|Q8R5M8-2|CADM1_MOUSE Isoform 2 of Cell adhesion molecule 1 OS,Plasma membrane,4,0.395563174,-0.483322536,-0.10057747,0.673637256,1.759057546,0.338111659,-0.357084508,-0.095868686,0.631771729,2.067614575,0.65713879,-0.397644017,-0.038697564,0.796058596,1.830258107,-0.181863543,-0.83890625,-0.559220107,0.295287472,2.34972424,0.250923496,-0.106056201,-0.086791549,0.825980223,1.725985687,0.047708916,-0.658946797,-0.375526708,0.309700166,2.173279803
Q8VDN2;Q6PIC6;Q64436,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1,Atp1a1,sp|Q8VDN2|AT1A1_MOUSE Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus OX=10090 GN=Atp1a1 PE=1 SV=1,Plasma membrane,56,0.246860203,-0.277721543,0.212217754,0.955011768,1.956753081,0.27679268,-0.370652686,0.029400965,0.760759585,2.152787654,0.564330505,-0.234133031,0.190426339,0.947287063,1.926986003,-0.346627519,-0.949744397,-0.447749851,0.368380099,2.675606499,0.535943997,-0.021309995,-0.046462156,0.896554351,1.767985957,-0.008200221,-0.620667443,-0.295250307,0.224491696,2.321432076
Q91XV3,Q91XV3,Brain acid soluble protein 1,Basp1,sp|Q91XV3|BASP1_MOUSE Brain acid soluble protein 1 OS=Mus musculus OX=10090 GN=Basp1 PE=1 SV=3,Plasma membrane,7,0.350592415,-0.416645192,-0.389431548,-0.021462469,0.707176986,0.47205052,-0.134757644,-0.277760554,0.04379329,1.142902703,0.503969751,-0.324416691,-0.354323143,-0.048485808,0.724252468,-0.087145065,-0.874305491,-0.648148323,-0.052231224,1.760478759,0.649803083,0.340292583,0.16177414,0.907376986,1.163128594,0.440065095,-0.248925755,-0.319139254,-0.095596798,1.397918124
Q99KG5-3;Q99KG5-2;Q99KG5,Q99KG5-3;Q99KG5-2;Q99KG5,Lipolysis-stimulated lipoprotein receptor,Lsr,sp|Q99KG5-3|LSR_MOUSE Isoform 3 of Lipolysis-stimulated lipoprotein receptor OS=Mus musculus OX=10090 GN=Lsr;sp|Q99KG5-2|LSR_MOUSE Isoform 2 of Lipolysis-stimulated lipoprotein receptor OS=Mus musculus OX=10090 GN=Lsr;sp|Q99KG5|LSR_MOUSE Lipolysis-stimulat,Plasma membrane,3,0.260748495,-0.627196071,-0.752900198,0.300100971,1.153683625,0.468734101,-0.349391278,-0.336402491,0.419066539,2.094713565,0.455309677,-0.619407558,-0.555752741,0.146010878,1.184221415,-0.128944519,-1.076495278,-0.91502498,-0.183566916,2.090543911,0.258748614,-0.372545101,-0.542062973,0.273928365,1.345252526,0.225444134,-0.754946488,-0.612675929,-0.035167189,1.746862057
Q9JKF1;REV__Q64697,Q9JKF1,Ras GTPase-activating-like protein IQGAP1,Iqgap1,sp|Q9JKF1|IQGA1_MOUSE Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2,Plasma membrane,59,-0.507067436,-0.129581137,1.102655285,1.730045655,1.524678345,-0.562971903,0.00458207,1.196293947,1.714467003,1.670754693,-0.113888379,0.24357647,1.140782374,1.662512836,1.765128713,-1.383707007,-1.16078915,0.660503344,1.377335112,1.323670972,0.420040556,1.367431013,1.744264307,1.656981086,1.444714348,-0.363481322,0.343884076,1.445837325,1.630307716,1.388432442
Q9JL26;Q9JL26-2,Q9JL26;Q9JL26-2,Formin-like protein 1,Fmnl1,sp|Q9JL26|FMNL1_MOUSE Formin-like protein 1 OS=Mus musculus OX=10090 GN=Fmnl1 PE=1 SV=1;sp|Q9JL26-2|FMNL1_MOUSE Isoform 2 of Formin-like protein 1 OS=Mus musculus OX=10090 GN=Fmnl1,Plasma membrane,9,-0.270895962,-0.453940864,-0.161087304,0.134688031,-0.00289138,0.106485299,0.037918218,0.15134345,0.276178723,0.182507044,0.100155327,-0.324314782,-0.160296374,0.066876883,-0.04214959,-0.457119967,-0.70293432,-0.109838637,0.079634986,0.284212279,-0.099011056,-0.19216085,-0.448447504,-0.190841296,-0.35893954,-0.144103912,-0.314463219,-0.136010294,-0.12219923,0.405203462
Q9WVL3;Q9WVL3-2,Q9WVL3;Q9WVL3-2,Solute carrier family 12 member 7,Slc12a7,sp|Q9WVL3|S12A7_MOUSE Solute carrier family 12 member 7 OS=Mus musculus OX=10090 GN=Slc12a7 PE=1 SV=1;sp|Q9WVL3-2|S12A7_MOUSE Isoform 2 of Solute carrier family 12 member 7 OS=Mus musculus OX=10090 GN=Slc12a7,Plasma membrane,3,0.118482947,-0.484992912,0.042916501,0.802623697,1.865286838,-0.049914787,-0.498778782,-0.012309774,0.572016986,1.7852156,0.312017789,-0.511560257,-0.020610159,0.67999665,1.549189917,-0.27448459,-0.781242405,-0.363183121,0.429475273,1.771247614,0.324260444,-0.315634106,-0.276065258,0.490849225,1.158035277,-0.013676059,-0.731817703,-0.340402895,0.194300808,1.914005025
Q9Z0F8;Q9Z0F8-2,Q9Z0F8;Q9Z0F8-2,Disintegrin and metalloproteinase domain-containing protein 17,Adam17,sp|Q9Z0F8|ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3;sp|Q9Z0F8-2|ADA17_MOUSE Isoform Short of Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=100,Plasma membrane,2,0.189930156,-0.497500516,-0.654477657,0.094586547,1.363395125,0.451603209,-0.19353739,-0.594590256,0.364556407,1.646005103,0.24676415,-0.47449379,-0.730682363,-0.006309958,1.200404751,0.368710546,-0.388447685,-0.370910713,0.266402466,2.44704425,0.203059965,-0.706257285,-0.823180803,-0.002253429,1.189114622,0.281612479,-0.664772414,-0.626334811,0.192628994,2.425435214
